,Score
Quat-x-pks2,0.25544107143787753
Quat-x-pks3,0.29461835869128405
Quat-x-pks4,0.352070521421262
Quat-x-pks5,0.365159975254348
Quat-x-fpk1,-0.0536216328432922
Quat-x-fpk2,0.03983773820717325
Quat-x-fpk3,0.016280541350724147
Quat-x-fpk4,-0.02815701100739097
Quat-x-fpk5,-0.022543889268563627
Quat-y-max,0.044706911767426825
Quat-y-min,-0.08725030480242503
Quat-y-avg,-0.018615257173282666
Quat-y-var,0.5033805305084726
Quat-y-skew,-0.09922357322094398
Quat-y-kurt,-0.3714154937863383
Quat-y-aut1,0.4456542814937918
Quat-y-aut2,0.41710660593653864
Quat-y-aut3,0.374888662162182
Quat-y-aut4,0.384200277015617
Quat-y-aut5,0.4297809759863794
Quat-y-aut6,0.4329194479161934
Quat-y-aut7,0.3919682430598728
Quat-y-aut8,0.36886612452388895
Quat-y-aut9,0.37033955953290054
Quat-y-aut10,0.37202103803779424
Quat-y-pks1,0.4456772294756547
Quat-y-pks2,0.1527576932661814
Quat-y-pks3,0.2235942853176322
Quat-y-pks4,0.2775687952032994
Quat-y-pks5,0.2753411441288332
Quat-y-fpk1,-0.08927875171390062
Quat-y-fpk2,0.07819895963620561
Quat-y-fpk3,0.04917501638312337
Quat-y-fpk4,0.0473689208160256
Quat-y-fpk5,0.014881655150521362
Quat-z-max,-0.24657127960528832
Quat-z-min,-0.1701810841131621
Quat-z-avg,-0.21491580276206837
Quat-z-var,-0.36696494912968175
Quat-z-skew,0.07622006599062822
Quat-z-kurt,0.253971288420771
Quat-z-aut1,-0.518336337305101
Quat-z-aut2,-0.5060992730865519
Quat-z-aut3,-0.4884077486346065
Quat-z-aut4,-0.487230827557547
Quat-z-aut5,-0.5010408456180372
Quat-z-aut6,-0.4982902178513332
Quat-z-aut7,-0.4817050213997249
Quat-z-aut8,-0.47768245522348185
Quat-z-aut9,-0.4773601949885327
Quat-z-aut10,-0.47696858119956076
Quat-z-pks1,-0.3495943753890375
Quat-z-pks2,-0.14987225937141604
Quat-z-pks3,-0.10485573995016605
Quat-z-pks4,-0.14640633375153098
Quat-z-pks5,-0.2564226367523557
Quat-z-fpk1,-9.065719699516436e-05
Quat-z-fpk2,-0.05601868841483311
Quat-z-fpk3,-0.056101936820006255
Quat-z-fpk4,-0.07031844649311764
Quat-z-fpk5,-0.061492644712607125
FreeAcc-x-max,0.36233379656905906
FreeAcc-x-min,-0.2649071613137829
FreeAcc-x-avg,0.016846937901252062
FreeAcc-x-var,0.38921385438025125
FreeAcc-x-skew,0.13590872874534773
FreeAcc-x-kurt,0.0383325594307817
FreeAcc-x-aut1,0.386838197521801
FreeAcc-x-aut2,-0.3400177156644564
FreeAcc-x-aut3,-0.27546621684891254
FreeAcc-x-aut4,-0.17932546232371985
FreeAcc-x-aut5,0.21566626877980305
FreeAcc-x-aut6,0.19503144936278372
FreeAcc-x-aut7,-0.2557152919704278
FreeAcc-x-aut8,-0.16310611051030321
FreeAcc-x-aut9,-0.10616486750889738
FreeAcc-x-aut10,-0.07361931207381961
FreeAcc-x-pks1,0.20915720849294658
FreeAcc-x-pks2,0.2544991178457146
FreeAcc-x-pks3,-0.03911057429100858
FreeAcc-x-pks4,0.06897286570307824
FreeAcc-x-pks5,0.14810822184698852
FreeAcc-x-fpk1,0.017518631130494455
FreeAcc-x-fpk2,-0.018008627424068616
FreeAcc-x-fpk3,-0.04369818923102226
FreeAcc-x-fpk4,-0.03241542941697708
FreeAcc-x-fpk5,-0.020523061072653094
FreeAcc-y-max,0.4985749211564634
FreeAcc-y-min,-0.4843070540699903
FreeAcc-y-avg,0.007712618484912365
FreeAcc-y-var,0.5932603932013425
FreeAcc-y-skew,-0.00551740225306717
FreeAcc-y-kurt,-0.25105340776954604
FreeAcc-y-aut1,0.5920912794481522
FreeAcc-y-aut2,0.08697417578444318
FreeAcc-y-aut3,-0.49175320452984067
FreeAcc-y-aut4,-0.5515110047283822
FreeAcc-y-aut5,0.4068875369641703
FreeAcc-y-aut6,0.4615849163999633
FreeAcc-y-aut7,-0.1908474125498276
FreeAcc-y-aut8,-0.31153028106457625
FreeAcc-y-aut9,-0.24406584090110647
FreeAcc-y-aut10,-0.19897871795737584
FreeAcc-y-pks1,0.4945822944920932
FreeAcc-y-pks2,0.23389225473062134
FreeAcc-y-pks3,0.28558089442191953
FreeAcc-y-pks4,0.2249006807086067
FreeAcc-y-pks5,0.23293669580200355
FreeAcc-y-fpk1,-0.018782296573131636
FreeAcc-y-fpk2,-0.02721410243091179
FreeAcc-y-fpk3,-0.03782126572879606
FreeAcc-y-fpk4,-0.01820365536692136
FreeAcc-y-fpk5,-0.0050476338723060375
FreeAcc-z-max,0.24431513912727215
FreeAcc-z-min,-0.5741047530536874
FreeAcc-z-avg,0.054658022769259164
FreeAcc-z-var,0.5113612932025544
FreeAcc-z-skew,-0.30080730794942273
FreeAcc-z-kurt,-0.18541476799714568
FreeAcc-z-aut1,0.5127243513015622
FreeAcc-z-aut2,-0.5045397882105087
FreeAcc-z-aut3,0.44792924535545114
FreeAcc-z-aut4,-0.4128046763446002
FreeAcc-z-aut5,0.2404606025217801
FreeAcc-z-aut6,-0.010824925468099909
FreeAcc-z-aut7,-0.3100561932479002
FreeAcc-z-aut8,0.32766896446578037
FreeAcc-z-aut9,0.13326649335302368
FreeAcc-z-aut10,0.005455941143217564
FreeAcc-z-pks1,0.011214224152677503
FreeAcc-z-pks2,0.12839703451198536
FreeAcc-z-pks3,0.11362506365204232
FreeAcc-z-pks4,0.2238220802436017
FreeAcc-z-pks5,0.17394109551130232
FreeAcc-z-fpk1,0.0049348308357329155
FreeAcc-z-fpk2,-0.01751623572820036
FreeAcc-z-fpk3,-0.03421185477115782
FreeAcc-z-fpk4,-0.04669881200303812
FreeAcc-z-fpk5,-0.04200299094949369
Score,1.0
